"","all_patterns","Freq"
"1","1",213
"2","1__10",4
"3","1__10__12__15__27",5
"4","1__10__18",6
"5","1__10__18__30__32",15
"6","1__11",12
"7","1__11__12",54
"8","1__11__12__13",4
"9","1__11__12__13__14__15",6
"10","1__11__12__13__15__16",6
"11","1__11__12__14",12
"12","1__11__12__14__15__20",6
"13","1__11__12__14__16",15
"14","1__11__12__14__16__20",6
"15","1__11__12__15",4
"16","1__11__12__26",12
"17","1__11__13",3
"18","1__11__13__14__38",5
"19","1__11__14__15",4
"20","1__11__14__19__26",5
"21","1__11__15",3
"22","1__11__16__19",4
"23","1__11__26",3
"24","1__12",208
"25","1__12__13",21
"26","1__12__13__14",12
"27","1__12__13__14__15",5
"28","1__12__13__14__15__16",6
"29","1__12__13__14__15__19",6
"30","1__12__13__14__16",10
"31","1__12__13__14__19__20",6
"32","1__12__13__15",4
"33","1__12__13__16",12
"34","1__12__14",18
"35","1__12__14__15",16
"36","1__12__14__15__16",15
"37","1__12__14__15__16__19",6
"38","1__12__14__15__16__19__20__22",8
"39","1__12__14__15__16__19__26",7
"40","1__12__14__15__16__20",6
"41","1__12__14__15__16__22",6
"42","1__12__14__15__19",15
"43","1__12__14__15__19__20",6
"44","1__12__14__15__19__26",6
"45","1__12__14__15__26",5
"46","1__12__14__16",20
"47","1__12__14__19",4
"48","1__12__14__19__20",5
"49","1__12__14__22",12
"50","1__12__14__43",8
"51","1__12__15",21
"52","1__12__15__16",28
"53","1__12__15__16__19",5
"54","1__12__15__19",12
"55","1__12__15__26",4
"56","1__12__15__33",4
"57","1__12__16",42
"58","1__12__16__19",4
"59","1__12__16__22",4
"60","1__12__16__38",4
"61","1__12__19",33
"62","1__12__19__20",4
"63","1__12__20",18
"64","1__12__21",12
"65","1__12__22",3
"66","1__12__26",3
"67","1__12__32",3
"68","1__12__43",6
"69","1__13",12
"70","1__13__14",3
"71","1__13__14__15",8
"72","1__13__14__15__16__19",6
"73","1__13__14__15__19",5
"74","1__13__14__15__19__20",6
"75","1__13__14__15__21",5
"76","1__13__14__15__22",5
"77","1__13__14__15__27",5
"78","1__13__14__15__38",5
"79","1__13__14__18",4
"80","1__13__14__18__38",5
"81","1__13__14__19",4
"82","1__13__14__22",4
"83","1__13__15",9
"84","1__13__15__16",4
"85","1__13__15__18__27",5
"86","1__13__18",3
"87","1__13__24__27",4
"88","1__13__32",3
"89","1__13__38",6
"90","1__14",16
"91","1__14__15",3
"92","1__14__15__18__26",5
"93","1__14__15__19",8
"94","1__14__15__19__26",5
"95","1__14__15__20",20
"96","1__14__15__22__27",5
"97","1__14__15__26",4
"98","1__14__16__32",4
"99","1__14__16__44",4
"100","1__14__19",6
"101","1__14__22",6
"102","1__14__30",3
"103","1__14__38",6
"104","1__14__43",3
"105","1__15",4
"106","1__15__16",3
"107","1__15__17__18__19__24",6
"108","1__15__18",6
"109","1__15__20",3
"110","1__15__21",9
"111","1__15__24__26",12
"112","1__15__30__32",4
"113","1__15__38__43",4
"114","1__15__43",3
"115","1__16",16
"116","1__16__18",3
"117","1__17",2
"118","1__18",20
"119","1__18__24",3
"120","1__18__26",6
"121","1__18__30__32",4
"122","1__18__32__41",4
"123","1__19",8
"124","1__19__22",3
"125","1__19__38",3
"126","1__2",24
"127","1__2__11__12",16
"128","1__2__11__12__13",5
"129","1__2__11__12__13__14",6
"130","1__2__11__12__15",5
"131","1__2__11__12__16",5
"132","1__2__11__13__15",5
"133","1__2__12",36
"134","1__2__12__13__14__15__16",7
"135","1__2__12__14",8
"136","1__2__12__14__15__16",6
"137","1__2__12__14__15__19",6
"138","1__2__12__14__15__19__20",7
"139","1__2__12__14__26",5
"140","1__2__12__15",4
"141","1__2__12__15__16__19",6
"142","1__2__12__15__29",5
"143","1__2__12__16",8
"144","1__2__12__16__20",5
"145","1__2__12__19",8
"146","1__2__12__20",8
"147","1__2__12__35",4
"148","1__2__13__21__22__38",6
"149","1__2__13__24__27",5
"150","1__2__14__15",4
