state_name,district_name,court_name,est_code,updated_type_name,updated_disp_name,disp_nature,fil_year,reg_year_date,decision_year,age_interval,total_cases
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Case (SC),NA,0,2018,2018,NA,two to three years,2
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Acquitted,10,2018,2018,2018,six months to one year,2
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Acquitted,10,2018,2018,2019,one to two years,6
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Case is filed,21,2018,2015,2018,two to three years,1
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Case is filed,21,2018,2018,2018,six months to one year,1
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Case is filed,21,2018,2018,2019,one to two years,1
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Disposed,30,2018,2018,2018,six months to one year,1
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Disposed,30,2018,2018,2019,one to two years,5
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Disposed off on contest,50,2018,2018,2019,one to two years,2
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Disposed off on contest,50,2018,2018,2020,one to two years,2
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Disposed off on contest,50,2018,2018,2020,two to three years,1
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Judgement delivered,34,2018,2018,2018,six months to one year,1
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,Stayed,33,2018,2018,2018,three to six months,1
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,NA,0,2018,2018,NA,one to two years,15
Assam,Baksa,District and Sessions Judge,ASBK01,Sessions Special,NA,0,2018,2018,NA,two to three years,28
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Acquitted,10,2018,2018,2019,one to two years,5
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Acquitted,10,2018,2018,2019,six months to one year,1
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Acquitted,10,2019,2019,2019,six months to one year,1
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Case is filed,21,2018,2018,2019,one to two years,3
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Convicted,11,2018,2018,2019,six months to one year,1
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Disposed,30,2018,2018,2019,one to two years,1
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Disposed,30,2019,2019,2019,less than one month,2
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Disposed off on contest,50,2018,2018,2020,one to two years,1
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Disposed off on contest,50,2018,2018,2020,two to three years,2
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Disposed off on contest,50,2019,2019,2020,six months to one year,2
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,Judgement delivered,34,2018,2015,2018,two to three years,1
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,NA,0,2018,2018,NA,one to two years,18
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,NA,0,2018,2018,NA,two to three years,12
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,NA,0,2019,2019,NA,one to two years,6
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,NA,0,2019,2019,NA,six months to one year,25
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,NA,0,2019,2019,NA,three to six months,25
Assam,Baksa,District and Sessions Judge,ASBK01,Special (POCSO) Case,NA,0,2020,2020,NA,one to three months,9
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Sessions Case (SC),Transferred,1,2016,2016,2017,one to two years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2016,2016,2017,one to two years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2017,2017,2018,one to two years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2018,2018,2018,six months to one year,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2018,2018,2018,three to six months,2
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2018,2018,2019,one to two years,6
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2018,2018,2019,six months to one year,3
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2019,2019,2019,less than one month,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2019,2019,2019,one to three months,3
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2019,2019,2019,six months to one year,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2019,2019,2019,three to six months,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2019,2019,2020,one to three months,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2019,2019,2020,three to six months,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Acquitted,10,2020,2020,2020,one to three months,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Concilliation,9,2017,2017,2019,one to two years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Convicted,11,2016,2016,2017,one to two years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Convicted,11,2017,2017,2018,one to two years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Convicted,11,2017,2017,2018,six months to one year,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Convicted,11,2018,2018,2019,one to two years,2
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Convicted,11,2018,2018,2019,six months to one year,2
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Transferred,1,2016,2016,2018,one to two years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Transferred,1,2017,2017,2017,three to six months,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,Transferred,1,2019,2019,2020,one to three months,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,NA,0,2016,2016,NA,three to four years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,NA,0,2017,2017,NA,two to three years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,NA,0,2018,2018,NA,one to two years,1
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,NA,0,2019,2019,NA,one to two years,2
Assam,Barpeta,Addl. District & Sessions Judge,ASBR08,Special (POCSO) Case,NA,0,2019,2019,NA,six months to one year,3
