cino,date_of_decision,dt_regis,reg_year_date,case_age_days,case_age_months,case_age_years
DLSH010069262019,24/12/2019,18/10/2019,2019,67,2.2 ,0.18 
DLSH010004502019,NA,18/01/2019,2019,438,14.6 ,1.20 
DLSH010000702019,NA,05/01/2019,2019,451,15.0 ,1.24 
DLSH010005972014,NA,23/12/2014,2019,1925,64.2 ,5.27 
DLSH010044562017,NA,13/07/2017,2018,992,33.1 ,2.72 
DLSH010002962020,NA,13/01/2020,2018,78,2.6 ,0.21 
DLSH010037482018,30/01/2020,31/05/2018,2019,609,20.3 ,1.67 
DLSH010024122018,NA,12/04/2018,2017,719,24.0 ,1.97 
DLSH010050432018,08/08/2018,28/07/2018,2017,11,0.4 ,0.03 
DLSH010012172015,NA,28/08/2015,2019,1677,55.9 ,4.59 
DLSH010017642019,NA,16/03/2019,2018,381,12.7 ,1.04 
DLSH010008522015,NA,25/03/2015,2018,1833,61.1 ,5.02 
DLSH010074122017,NA,22/11/2017,2018,860,28.7 ,2.36 
DLSH010052002017,NA,26/08/2017,2019,948,31.6 ,2.60 
DLSH010032512016,NA,03/05/2016,2017,1428,47.6 ,3.91 
DLSH010041562016,04/12/2019,10/06/2016,2018,1272,42.4 ,3.48 
DLSH010057522019,NA,30/08/2019,2019,214,7.1 ,0.59 
DLSH010057032019,NA,29/08/2019,2019,215,7.2 ,0.59 
DLSH010050852017,NA,05/08/2017,2019,969,32.3 ,2.65 
DLSH010079782019,NA,09/12/2019,2019,113,3.8 ,0.31 
DLSH010084782018,NA,18/12/2018,2017,469,15.6 ,1.28 
DLSH010000742019,NA,05/01/2019,2017,451,15.0 ,1.24 
DLSH010049362018,NA,25/07/2018,2019,615,20.5 ,1.68 
DLSH010034692016,NA,19/05/2016,2019,1412,47.1 ,3.87 
DLSH010048912018,14/02/2020,25/07/2018,2019,569,19.0 ,1.56 
DLSH010017532015,NA,15/12/2015,2020,1568,52.3 ,4.30 
DLSH010080172019,NA,10/12/2019,2020,112,3.7 ,0.31 
DLSH010011452018,NA,20/02/2018,2019,770,25.7 ,2.11 
DLSH010035002017,NA,26/05/2017,2019,1040,34.7 ,2.85 
DLSH010018962017,17/02/2020,22/03/2017,2019,1062,35.4 ,2.91 
DLSH010006642015,NA,21/05/2015,2019,1776,59.2 ,4.87 
DLSH010055672018,NA,15/09/2018,2019,563,18.8 ,1.54 
DLSH010000772019,NA,05/01/2019,2018,451,15.0 ,1.24 
DLSH010073442017,NA,21/11/2017,2019,861,28.7 ,2.36 
DLSH010000732019,NA,05/01/2019,2018,451,15.0 ,1.24 
DLSH010033852019,NA,23/05/2019,2019,313,10.4 ,0.86 
DLSH010058292018,NA,04/09/2018,2019,574,19.1 ,1.57 
DLSH010081372017,NA,22/12/2017,2019,830,27.7 ,2.27 
DLSH010000712019,NA,05/01/2019,2019,451,15.0 ,1.24 
DLSH010023002019,NA,06/04/2019,2019,360,12.0 ,0.99 
DLSH010037212016,NA,31/05/2016,2019,1400,46.7 ,3.84 
DLSH010028772018,NA,03/05/2018,2015,698,23.3 ,1.91 
DLSH010004572014,19/09/2019,19/06/2014,2019,1918,63.9 ,5.25 
DLSH010052842019,NA,13/08/2019,2019,231,7.7 ,0.63 
DLSH010016442019,NA,12/03/2019,2019,385,12.8 ,1.05 
DLSH010041472017,NA,08/06/2017,2019,1027,34.2 ,2.81 
DLSH010057012019,NA,29/08/2019,2019,215,7.2 ,0.59 
DLSH010056652018,NA,25/08/2018,2019,584,19.5 ,1.60 
DLSH010042352018,NA,02/07/2018,2019,638,21.3 ,1.75 
DLSH010075742017,NA,29/11/2017,2019,853,28.4 ,2.34 
DLSH010008852015,NA,10/03/2015,2019,1848,61.6 ,5.06 
DLSH010069762018,NA,16/10/2018,2019,532,17.7 ,1.46 
DLSH010015372015,NA,06/01/2015,2019,1911,63.7 ,5.24 
DLSH010061262017,NA,20/09/2017,2019,923,30.8 ,2.53 
DLSH010050112019,29/02/2020,31/07/2019,2018,213,7.1 ,0.58 
DLSH010047602017,NA,26/07/2017,2018,979,32.6 ,2.68 
DLSH010002972020,NA,13/01/2020,2018,78,2.6 ,0.21 
DLSH010034582018,NA,21/05/2018,2018,680,22.7 ,1.86 
DLSH010038722016,NA,03/06/2016,2018,1397,46.6 ,3.83 
DLSH010017382018,NA,19/03/2018,2018,743,24.8 ,2.04 
DLSH010070002016,NA,18/10/2016,2018,1260,42.0 ,3.45 
DLSH010014392018,NA,05/03/2018,2018,757,25.2 ,2.07 
DLSH010053462019,NA,16/08/2019,2018,228,7.6 ,0.62 
DLSH010021982019,NA,02/04/2019,2017,364,12.1 ,1.00 
DLSH010000722019,NA,05/01/2019,2018,451,15.0 ,1.24 
DLSH010045522018,NA,11/07/2018,2015,629,21.0 ,1.72 
DLST010003312016,NA,25/01/2016,2018,1527,50.9 ,4.18 
DLSH010045212017,NA,15/07/2017,2018,990,33.0 ,2.71 
