updated_disp_name,disp_nature,state_name,district_name,total_cases
Convicted,11,Assam,Cachar,22
Quashed,17,Delhi,South,1
Transferred,1,Assam,Golaghat,4
Acquitted,25,Haryana,Palwal,40
Abated,48,Delhi,South,1
Disposed of with directions,36,Haryana,Fatehabad,9
Rejected,36,Delhi,West,1
Adjourned Sine die,11,Delhi,West,1
PO Consigned,12,Delhi,South East,1
NA,0,Delhi,East,574
NA,0,Assam,Karimganj,48
Untraced,46,Delhi,South,3
Transferred - JJB,55,Assam,Dibrugarh,1
Disposed of with directions,36,Haryana,Sonepat,4
Stayed,32,Assam,Darrang,1
Convicted,2,Delhi,New Delhi,1
Acquitted,25,Haryana,Jhajjar,183
Convicted,24,Haryana,Panipat,46
PO Consigned,12,Delhi,Shahdara,7
Case is filed,21,Assam,Baksa,6
Convicted - Probation,26,Haryana,Rohtak,1
Transferred,1,Haryana,Faridabad,1
Disposed,30,Assam,Sonitpur,9
Convicted,24,Haryana,Jhajjar,38
Disposed,8,Delhi,South West,2
Abated,29,Haryana,Panchkula,1
Decreed with costs,9,Haryana,Hisar,1
PO Consigned,12,Delhi,North West,24
Cancelled,53,Delhi,North East,9
Further investigation ordered,39,Assam,Sonitpur,1
Acquitted,38,Assam,Cachar,3
Dismissed,25,Delhi,South,1
Disposed,1013,Haryana,Hisar,1
Judgement delivered,34,Assam,Kamrup,2
Convicted,11,Assam,Chirang,13
Acquitted,25,Haryana,Kaithal,88
Compromised,1010,Haryana,Hisar,1
NA,0,Delhi,North,842
Adjourned Sine die,44,Haryana,Jind,2
NA,0,Assam,Hailakandi,65
Disposed otherwise,1008,Haryana,Panchkula,1
Disposed of with directions,36,Haryana,Palwal,6
Remand back,22,Assam,Dhemaji,1
Disposed,30,Assam,Nalbari,2
Case is filed,21,Assam,Goalpara,1
Convicted - Fined,57,Assam,Cachar,1
Allowed,31,Delhi,South,9
NA,0,Assam,Goalpara,80
Untraced,46,Delhi,New Delhi,4
Acquitted,10,Assam,Dima Hasao,2
Disposed,30,Assam,Tinsukia,3
Convicted,2,Delhi,South East,13
Acquitted,1,Delhi,South,68
Acquitted,1,Delhi,North East,35
Acquitted,10,Assam,Barpeta,150
Plaintiff suit is dissmissed counter claims decreed,42,Assam,Golaghat,1
Discharged,14,Assam,Dhubri,1
Discharged,3,Delhi,Central,2
Disposed,61,Assam,Barpeta,3
NA,0,Assam,Barpeta,225
Adjourned Sine die,11,Delhi,South West,1
Transferred,64,Delhi,North,7
Converted,33,Assam,Nagaon,1
Convicted - Death,93,Haryana,Jhajjar,1
Acquitted,10,Assam,Dhemaji,51
Acquitted,25,Haryana,Panchkula,24
Acquitted,25,Haryana,Jind,80
Transferred,1,Haryana,Sonepat,3
Convicted,2,Delhi,North West,13
Discharged,14,Assam,Barpeta,3
Transferred,36,Assam,Nagaon,48
Convicted,2,Delhi,South West,18
NA,0,Assam,Sivasagar,168
Convicted - Probation,26,Haryana,Jhajjar,1
Transferred,1,Assam,Cachar,2
NA,0,Haryana,Jhajjar,34
Cancelled,64,Delhi,Central,2
Untraced,46,Delhi,West,13
Abated,5,Delhi,South West,8
Transferred,1,Haryana,Gurugram,6
Convicted,24,Haryana,Sirsa,41
Convicted,101,Assam,Cachar,1
Acquitted,25,Haryana,Sirsa,139
Contested,19,Delhi,North West,1
NA,0,Assam,Lakhimpur,56
Quashed,17,Delhi,West,28
Transferred,74,Delhi,West,12
"Some Convicted, some Acquitted",55,Haryana,Gurugram,1
NA,0,Haryana,Hisar,86
Disposed,8,Delhi,New Delhi,3
NA,0,Assam,Tinsukia,137
Convicted,11,Assam,Karbi Anglong,20
Acquitted,10,Assam,Udalguri,80
Case is filed,21,Assam,Dibrugarh,17
NA,0,Delhi,Shahdara,564
NA,0,Haryana,Rohtak,67
Disposed,8,Delhi,Shahdara,7
Acquitted,10,Assam,Karimganj,23
Abated,5,Delhi,South,3
Disposed of with directions,36,Haryana,Ambala,3
NA,0,Assam,Kamrup,155
Convicted,11,Assam,Dibrugarh,41
Convicted,11,Assam,Kokrajhar,15
Quashed,17,Delhi,South West,2
NA,0,Haryana,Yamunanagar,7
NA,0,Delhi,North West,860
Acquitted,25,Haryana,Yamunanagar,57
Acquitted,10,Assam,Kokrajhar,29
Acquitted,1,Delhi,North,173
Convicted - Fined,7,Delhi,North East,5
Discharged,14,Assam,Morigaon,4
NA,0,Haryana,Kurukshetra,64
Abated,13,Assam,Chirang,2
Convicted,24,Haryana,Rewari,48
NA,0,Assam,Karbi Anglong,121
Dismissed,6,Delhi,South,2
Disposed,1007,Haryana,Sonepat,5
Convicted,47,Assam,Karimganj,1
Convicted - Life imprisonment,43,Haryana,Sirsa,1
Abated,29,Haryana,Yamunanagar,2
Case is filed,21,Assam,Sivasagar,7
Proceeding stopped,47,Delhi,West,1
Rejected,36,Delhi,South West,3
Converted,40,Assam,Golaghat,11
Transferred,1,Assam,Sonitpur,12
Judgement delivered,34,Assam,Baksa,2
Allowed,16,Assam,Lakhimpur,1
Abated,5,Delhi,North West,10
Transferred - Attached with main case,59,Haryana,Faridabad,1
Consigned,1005,Haryana,Panipat,1
NA,0,Assam,Cachar,130
Convicted,24,Haryana,Fatehabad,32
Abated,13,Assam,Golaghat,2
Cancelled,53,Delhi,South West,4
Remand back,22,Assam,Udalguri,2
Transferred,69,Delhi,South,2
Dismissed,3,Assam,Sonitpur,1
Transferred,1,Assam,Morigaon,11
Convicted,11,Assam,Lakhimpur,7
Abated,29,Haryana,Palwal,1
Convicted - Fined,63,Assam,Barpeta,3
PO Consigned,12,Delhi,New Delhi,1
Adjourned Sine die,11,Delhi,Central,4
Abated,13,Assam,Kamrup,2
Transferred - Restoration,16,Delhi,North West,1
Acquitted,46,Haryana,Rohtak,117
Abated,13,Assam,Dhemaji,1
Convicted,11,Assam,Nalbari,6
Convicted,2,Delhi,Shahdara,8
NA,0,Haryana,Sirsa,101
Consigned,38,Haryana,Faridabad,5
Convicted,24,Haryana,Faridabad,175
Rejected,36,Delhi,North West,1
Convicted,11,Assam,Jorhat,16
Disposed,30,Assam,Baksa,9
Abated,13,Assam,Nagaon,4
Case is filed,21,Assam,Nalbari,1
Abated,5,Delhi,Shahdara,2
Transferred - Committal,33,Haryana,Faridabad,1
Disposed of with directions,36,Haryana,Panchkula,5
Quashed,17,Delhi,North,6
NA,0,Assam,Dhubri,108
Cancelled,64,Delhi,West,2
Transferred,1,Assam,Chirang,13
Compromised,21,Delhi,North,1
Acquitted,25,Haryana,Faridabad,293
Acquitted,25,Haryana,Ambala,124
Remand back,22,Assam,Nalbari,1
Convicted,24,Haryana,Sonepat,121
Consigned,38,Haryana,Rewari,3
Disposed of with directions,36,Haryana,Rewari,4
Transferred,1,Haryana,Rewari,1
Disposed,30,Assam,Goalpara,2
NA,0,Assam,Nagaon,259
Discharged,3,Delhi,West,8
Discharged,23,Haryana,Gurugram,1
Convicted - Fined,4,Delhi,North West,1
Further investigation ordered,52,Delhi,Shahdara,2
NA,0,Haryana,Bhiwani,32
Convicted - Undergone,49,Haryana,Faridabad,1
Convicted - Fined,7,Delhi,Central,102
Abated,13,Assam,Sonitpur,4
Convicted,2,Delhi,Central,4
Acquitted,10,Assam,Kamrup Metro,31
NA,0,Delhi,South East,545
PO Consigned,12,Delhi,South,5
Acquitted,25,Haryana,Hisar,122
Disposed otherwise,2,Assam,Kamrup,2
Convicted - Probation,33,Delhi,Central,1
Disposed,30,Assam,Dhubri,1
Abated,48,Delhi,North West,1
Allowed,16,Assam,Goalpara,1
Disposed,48,Haryana,Fatehabad,1
Transferred - JJB,59,Assam,Sonitpur,3
Disposed of with directions,36,Haryana,Panipat,1
Convicted,24,Haryana,Yamunanagar,25
Abated,5,Delhi,South East,5
Acquitted,10,Assam,Chirang,37
Disposed,30,Assam,Jorhat,10
Case is filed,21,Assam,Kamrup Metro,1
Transferred,1,Haryana,Hisar,4
Convicted,2,Delhi,North East,1
Remand back,9,Delhi,North,1
Case is filed,21,Assam,Darrang,5
Acquitted,10,Assam,Baksa,15
Adjourned Sine die,11,Delhi,South East,1
Dismissed,1000,Haryana,Hisar,1
Discharged,14,Assam,Sonitpur,1
Case is filed,21,Assam,Barpeta,2
Disposed,30,Assam,Kamrup,5
Discharged,3,Delhi,New Delhi,10
Convicted - Fined,7,Delhi,South West,12
Transferred - Committal,33,Haryana,Jhajjar,1
Untraced,46,Delhi,South East,2
Abated,29,Haryana,Kurukshetra,2
Cancelled,53,Delhi,Central,2
Transferred,64,Delhi,South West,7
Transferred,1,Assam,Goalpara,1
Case is filed,21,Assam,Nagaon,6
Consigned,38,Haryana,Gurugram,3
NA,0,Haryana,Fatehabad,68
Transferred,1,Assam,Dhemaji,7
Disposed,30,Assam,Cachar,8
Transferred,1,Haryana,Jhajjar,1
Transferred,68,Assam,Barpeta,9
Convicted - Probation,43,Delhi,North West,1
Allowed,31,Delhi,Shahdara,1
Transferred,1,Haryana,Panipat,3
Abated,13,Assam,Kamrup Metro,2
Transferred,64,Delhi,New Delhi,2
Acquitted,10,Assam,Jorhat,51
Discharged,23,Haryana,Faridabad,1
Transferred,1,Assam,Karbi Anglong,7
Acquitted,10,Assam,Karbi Anglong,15
Disposed otherwise,2,Assam,Sivasagar,1
Remand back,51,Haryana,Faridabad,2
Convicted - Life imprisonment,43,Haryana,Ambala,1
Allowed,31,Delhi,North East,20
Convicted - Undergone,66,Delhi,North West,3
Disposed,1009,Haryana,Palwal,1
Acquitted,25,Haryana,Kurukshetra,66
Quashed,17,Delhi,North West,5
Transferred,56,Assam,Sonitpur,7
Converted,94,Assam,Cachar,4
Convicted,11,Assam,Barpeta,23
NA,0,Haryana,Ambala,100
Case is filed,21,Assam,Kamrup,1
Consigned,38,Haryana,Kurukshetra,1
Untraced,46,Delhi,North West,6
Convicted,24,Haryana,Jind,42
Transferred,1,Assam,Jorhat,1
Disposed,30,Assam,Dibrugarh,5
Adjourned Sine die,1006,Haryana,Palwal,1
Convicted,11,Assam,Baksa,1
NA,0,Haryana,Jind,98
Allowed,31,Delhi,North,2
Convicted,67,Assam,Hailakandi,1
Declared Juvenile,95,Assam,Cachar,1
NA,0,Haryana,Sonepat,83
Disposed,30,Assam,Hailakandi,1
Transferred - JJB,35,Assam,Goalpara,2
NA,0,Assam,Kokrajhar,100
Acquitted,25,Haryana,Rewari,62
NA,0,Assam,Baksa,140
Convicted - Plead Guilty,24,Delhi,North West,1
Allowed,31,Delhi,South East,9
Disposed of with directions,36,Haryana,Sirsa,13
Disposed,8,Delhi,West,6
Acquitted,1,Delhi,North West,111
Disposed,8,Delhi,North,5
Discharged,14,Assam,Nagaon,2
Convicted,24,Haryana,Hisar,59
Transferred - Committal,70,Delhi,South East,1
NA,0,Assam,Jorhat,92
Transferred,73,Delhi,Central,2
Remand back,9,Delhi,South West,2
Convicted - Undergone,34,Delhi,Central,1
Disposed,30,Assam,Lakhimpur,2
Disposed otherwise,2,Assam,Golaghat,6
Allowed,31,Delhi,Central,2
Disposed of as withdrawn with permission to file fresh,2,Haryana,Hisar,1
Stayed,33,Assam,Dhemaji,1
Disposed,8,Delhi,East,2
Acquitted,10,Assam,Nalbari,40
Transferred,69,Delhi,South East,1
Case is filed,21,Assam,Sonitpur,76
Further investigation ordered,52,Delhi,South West,1
Convicted,11,Assam,Darrang,3
NA,0,Assam,Sonitpur,149
Convicted,11,Assam,Dhemaji,17
Disposed of with directions,36,Haryana,Jind,5
Convicted - Fined,7,Delhi,West,61
NA,0,Haryana,Panipat,80
Remand back,22,Assam,Karimganj,1
Judgement delivered,39,Assam,Golaghat,1
Abated,5,Delhi,East,1
NA,0,Assam,Dibrugarh,23
NA,0,Delhi,South West,687
Discharged,14,Assam,Karimganj,6
Case is filed,21,Assam,Chirang,7
Convicted - Fined,7,Delhi,North,20
Dismissed,6,Delhi,North West,1
Converted,55,Assam,Sonitpur,11
Convicted,2,Delhi,North,8
NA,0,Haryana,Gurugram,222
Allowed,31,Delhi,North West,4
PO Consigned,12,Delhi,West,33
Transferred,1,Assam,Dibrugarh,1
Acquitted,1,Delhi,New Delhi,13
Allowed,15,Haryana,Jind,1
Quashed,17,Delhi,New Delhi,14
PO Consigned,55,Haryana,Faridabad,1
Case is filed,21,Assam,Jorhat,1
Acquitted,10,Assam,Kamrup,63
Disposed otherwise,2,Assam,Nagaon,5
Abated,5,Delhi,West,19
Adjourned Sine die,41,Delhi,North East,1
Disposed,50,Haryana,Faridabad,10
Consigned,38,Haryana,Hisar,1
NA,0,Assam,Nalbari,108
Abated,5,Delhi,Central,13
Consigned,38,Haryana,Kaithal,1
Convicted,24,Haryana,Gurugram,67
PO Consigned,12,Delhi,North,17
Abated,13,Assam,Morigaon,1
Proceeding stopped,47,Delhi,North,1
Acquitted,10,Assam,Hailakandi,37
Quashed,17,Delhi,East,2
Stayed,45,Assam,Lakhimpur,1
