updated_disp_name,disp_nature,total_cases
Cancelled,53,33
PO Consigned,1007,1
Disposed of as withdrawn with permission to file fresh,2,1
Transferred - Attached with main case,59,1
Converted,55,11
Convicted,24,912
Remand back,22,11
Acquitted - Judgement delivered,41,19
Transferred,52,7
Allowed,31,83
Convicted - Fined,63,3
Adjourned Sine die,41,1
Acquitted,10,1525
Transferred - JJB,50,3
Transferred,78,8
Convicted,67,9
Consigned,49,2
Acquitted,76,49
Transferred - Restoration,16,1
Transferred,68,9
Convicted,11,368
Disposed,1007,5
Transferred,43,25
Converted,40,11
Concilliation,9,1
Abated,13,23
Adjourned Sine die,11,8
Convicted - Life imprisonment,1001,2
Abated,48,2
Transferred - JJB,35,2
Disposed,1013,1
Dismissed,3,4
Convicted - Fined,44,1
Convicted,109,2
Disposed,41,10
Acquitted,38,3
Convicted - Undergone,49,1
Disposed,48,1
Converted,74,1
Transferred,56,7
Transferred,74,12
Declared Juvenile,95,1
Transferred,69,3
Convicted - Fined,4,3
Dismissed,1000,1
Disposed of with directions,36,65
Transferred,64,30
Dismissed,25,1
Disposed,50,10
Acquitted,46,117
Case is filed,21,172
Quashed,47,4
Convicted - Fined,57,1
Further investigation ordered,39,1
Disposed off on contest,50,10
Untraced,46,54
Dismissed,46,1
Disposed,72,3
Compromised,21,1
Allowed,15,6
Rejected,36,5
Discharged,3,89
Remand back,9,5
Transferred,1,181
Converted,33,1
Convicted,47,1
Convicted,101,1
Convicted - Fined,7,230
Proceeding stopped,47,2
Convicted - Probation,26,2
Transferred,73,3
Disposed uncontest,36,10
Convicted - Undergone,34,6
NA,0,11686
Plaintiff suit is dissmissed counter claims decreed,42,1
Contested,19,1
Convicted - Undergone,66,3
Transferred - Committal,33,2
Transferred,55,1
Dismissed,34,2
Disposed otherwise,2,45
Acquitted,1,1302
Transferred,38,1
Discharged,23,5
Compromised,1010,1
Convicted - Death,93,1
Transferred - Committal,70,1
Convicted - Probation,33,1
Disposed,61,3
Transferred - Attached with main case,1008,2
Consigned,1005,1
Stayed,32,3
Abated,5,79
Decreed with costs,9,1
Adjourned Sine die,1006,1
"Some Convicted, some Acquitted",55,1
Stayed,33,2
Converted,94,4
PO Consigned,55,1
Dismissed,6,4
Convicted,2,127
Disposed,1009,1
Disposed,30,89
PO Consigned,49,1
Stayed,49,4
PO Consigned,12,106
Stayed,45,1
Further investigation ordered,52,4
Remand back,51,2
Convicted - Probation,68,1
Acquitted,25,1816
PO Consigned,46,2
Case is filed,21,1
Adjourned Sine die,44,2
Disposed otherwise,1008,1
Clubbed in FIR,70,16
Discharged,14,28
Consigned,38,15
Convicted - Life imprisonment,43,2
Allowed,16,2
Cancelled,64,4
Convicted - Undergone,1001,2
Proceeding stopped,75,1
Judgement delivered,34,4
Proceeding dropped,46,1
Convicted - Plead Guilty,24,8
Disposed,8,38
Quashed,17,69
Abated,29,15
Transferred,36,48
Judgement delivered,39,1
Transferred - JJB,59,3
Convicted - Probation,43,11
Disposed,47,1
Judgement delivered,35,1
Transferred - JJB,55,1
