district_code,district_name,state_code,state_name,complex_code,court_name,est_code,cino,case_no,fil_no,fil_year,reg_no,reg_year,type_name,date_of_decision,date_of_filing,dt_regis,disp_name,disp_nature
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010054402019,202300004032019,2847,2019,403,2019,SC,2020-03-06,2019-08-20,2019-08-20,P.O. CONSIGNED,12
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010013312018,202300000902018,648,2018,90,2018,SC,2019-12-07,2018-02-27,2018-02-27,P.O. CONSIGNED,12
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010069192019,202300005052019,3636,2019,505,2019,SC,2019-10-18,2019-10-18,2019-10-18,P.O. CONSIGNED,12
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010053312018,202300004162018,2531,2018,416,2018,SC,2019-03-13,2018-08-09,2018-08-10,P.O. CONSIGNED,12
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010019962015,202300007282016,24798,2015,728,2016,SC,2020-01-23,2015-07-16,2015-07-16,QUASHED,17
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010078762019,202300005522019,4102,2019,552,2019,SC,2019-12-05,2019-12-05,2019-12-05,P.O. CONSIGNED,12
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010070172018,202300005252018,3384,2018,525,2018,SC,2019-10-22,2018-10-16,2018-10-18,QUASHED,17
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010030772017,202300001532017,1611,2017,153,2017,SC,2019-11-28,2017-05-11,2017-05-11,P.O. CONSIGNED,12
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010020262018,202300001352018,941,2018,135,2018,SC,2019-11-22,2018-03-27,2018-03-27,P.O. CONSIGNED,12
2,Shahdara,26,Delhi,1,"District and Sessions Judge, Shahdara, KKD",DLSH01,DLSH010006252017,202300000342017,303,2017,34,2017,SC,2019-12-24,2017-01-27,2017-01-27,QUASHED,17
10,South,26,Delhi,1,"District and Sessions Judge, South, Saket",DLST01,DLST010080742017,202300005552017,4819,2017,555,2017,SC,2019-11-15,2017-10-12,2017-10-17,P.O. CONSIGNED,12
10,South,26,Delhi,1,"District and Sessions Judge, South, Saket",DLST01,DLST010011192015,202300072132016,12962,2015,7213,2016,SC,2020-02-13,2015-04-13,2015-07-09,QUASHED,17
10,South,26,Delhi,1,"District and Sessions Judge, South, Saket",DLST01,DLST010087992017,206900018852017,5231,2017,1885,2017,Bail Matters,2017-11-13,2017-11-10,2017-11-10,DISMISSED AS WITHDRAWN  AS SATISFIED,51
10,South,26,Delhi,1,"District and Sessions Judge, South, Saket",DLST01,DLST010001472013,202300066402016,33453,2013,6640,2016,SC,2020-02-10,2013-11-22,2015-05-28,P.O. CONSIGNED,12
10,South,26,Delhi,1,"District and Sessions Judge, South, Saket",DLST01,DLST010028442018,202300002462018,1456,2018,246,2018,SC,2018-11-17,2018-04-23,2018-05-02,P.O. CONSIGNED,12
