district_code,district_name,state_code,state_name,complex_code,court_name,est_code,cino,case_no,fil_no,fil_year,reg_no,reg_year,type_name,date_of_decision,date_of_filing,dt_regis,disp_name,disp_nature
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040001112017,203300000032017,77,2017,3,2017,M.,2017-04-10,2017-01-13,2017-01-16,DISPOSED,8
10,South,26,Delhi,1,"District and Sessions Judge, South, Saket",DLST01,DLST010080992018,202400008902018,4524,2018,890,2018,CT Cases,NA,2018-12-05,2018-12-13,NA,0
10,South,26,Delhi,1,"District and Sessions Judge, South, Saket",DLST01,DLST010051222019,202400004582019,2969,2019,458,2019,CT Cases,NA,2019-07-29,2019-07-30,NA,0
10,South,26,Delhi,1,"District and Sessions Judge, South, Saket",DLST01,DLST010074052019,202400007202019,4235,2019,720,2019,CT Cases,NA,2019-10-25,2019-10-30,NA,0
10,South,26,Delhi,1,"District and Sessions Judge, South, Saket",DLST01,DLST010090342017,202400028112017,5357,2017,2811,2017,CT Cases,2017-12-06,2017-11-16,2017-11-24,DISMISSED AS WITHDRAWN,25
4,North,26,Delhi,1,"District and Sessions Judge, North, RHC",DLNT01,DLNT010005992018,203800001342018,320,2018,134,2018,EX.,NA,2018-01-16,2018-02-12,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040026352018,203300000332018,1948,2018,33,2018,M.,2020-02-20,2018-05-17,2018-05-17,DISMISSED AS COMPROMISED,38
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040019382017,203300000232017,1415,2017,23,2017,M.,NA,2017-08-02,2017-08-02,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040024472017,203300000342017,1773,2017,34,2017,M.,2018-04-18,2017-09-18,2017-09-18,RESTORATION,16
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040032572018,203300000412018,2418,2018,41,2018,M.,2019-10-23,2018-10-26,2018-10-29,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040011852016,203300560062016,17531,2016,56006,2016,M.,2017-10-09,2016-05-04,2016-05-10,Transfer,64
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040031962018,203300000382018,2367,2018,38,2018,M.,2019-08-31,2018-10-16,2018-10-16,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040002162017,203300000082017,152,2017,8,2017,M.,2017-03-31,2017-01-16,2017-01-25,RESTORATION,16
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040019232018,203300000212018,1423,2018,21,2018,M.,2018-08-10,2018-05-31,2018-05-31,DISPOSED,8
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040009402018,203300000092018,699,2018,9,2018,M.,2019-01-24,2018-01-12,2018-01-12,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040026262017,203300000402017,1903,2017,40,2017,M.,2018-10-30,2017-10-03,2017-10-13,DISPOSED,8
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040012342016,203300560072016,17560,2016,56007,2016,M.,2017-07-26,2016-05-12,2016-05-14,DISPOSED,8
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040002322017,203300000092017,164,2017,9,2017,M.,2018-04-06,2017-01-24,2017-01-27,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040009062018,203300000052018,676,2018,5,2018,M.,NA,2018-02-05,2018-02-05,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040003812017,203300000102017,272,2017,10,2017,M.,NA,2017-02-13,2017-02-14,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040009412018,203300000082018,700,2018,8,2018,M.,2018-12-03,2018-01-03,2018-01-03,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040024392018,203300000282018,1803,2018,28,2018,M.,NA,2018-03-17,2018-03-17,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040036152019,203300000302019,2656,2019,30,2019,M.,NA,2019-10-25,2019-11-02,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040020452017,203300000262017,1493,2017,26,2017,M.,2017-12-01,2017-04-22,2017-04-22,RESTORATION,16
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040030522016,203300560302016,18889,2016,56030,2016,M.,NA,2016-12-07,2016-12-08,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040024572016,203300560222016,18463,2016,56022,2016,M.,2017-05-11,2016-09-28,2016-09-28,RESTORATION,16
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040019192018,203300000172018,1419,2018,17,2018,M.,NA,2018-03-17,2018-03-17,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040019992017,203300000242017,1457,2017,24,2017,M.,2019-02-14,2017-08-05,2017-08-05,DISMISSED FOR NON-PROSECUTION,26
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040015922017,203300000182017,1165,2017,18,2017,M.,2018-09-07,2017-05-19,2017-05-19,RESTORATION,16
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040033572017,203300000462017,2440,2017,46,2017,M.,2019-02-26,2017-12-05,2017-12-05,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040019202018,203300000182018,1420,2018,18,2018,M.,2018-09-26,2018-05-16,2018-05-16,DISMISSED AS WITHDRAWN,25
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040026952018,203300000352018,1989,2018,35,2018,M.,2019-05-21,2018-08-30,2018-08-30,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040024482017,203300000332017,1774,2017,33,2017,M.,2019-01-17,2017-09-11,2017-09-11,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040020752017,203300000292017,1515,2017,29,2017,M.,2019-03-18,2017-08-18,2017-08-18,DISMISSED,6
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040022482018,203300000242018,1665,2018,24,2018,M.,2018-07-11,2018-07-11,2018-07-11,RESTORATION,16
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040015422016,203300560122016,17792,2016,56012,2016,M.,NA,2016-06-06,2016-06-08,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040018562017,203300000202017,1356,2017,20,2017,M.,2017-08-01,2017-07-26,2017-07-26,DISMISSED,6
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040031892017,203300000452017,2315,2017,45,2017,M.,2017-12-12,2017-07-24,2017-07-24,RESTORATION,16
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040014352016,203300560102016,17707,2016,56010,2016,M.,NA,2016-05-27,2016-05-31,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040020992016,203300560192016,18206,2016,56019,2016,M.,2017-04-13,2016-08-16,2016-08-22,DISMISSED,6
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040019212018,203300000192018,1421,2018,19,2018,M.,2018-07-28,2018-05-25,2018-05-25,DISPOSED,8
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040020952016,203300560172016,18202,2016,56017,2016,M.,NA,2016-04-11,2016-08-22,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040002152017,203300000072017,151,2017,7,2017,M.,NA,2017-01-06,2017-01-25,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040019222018,203300000202018,1422,2018,20,2018,M.,2018-08-16,2018-05-30,2018-05-30,DISPOSED,8
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040000042017,203300000022017,4,2017,2,2017,M.,2017-03-22,2017-01-02,2017-01-04,WITHDRAWN,10
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040021442016,203300560212015,18239,2016,56021,2015,M.,2016-11-21,2015-09-29,2016-08-24,DISPOSED,8
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040015932017,203300000172017,1166,2017,17,2017,M.,NA,2017-05-20,2017-05-20,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040026702018,203300000342018,1973,2018,34,2018,M.,2019-04-30,2018-08-27,2018-08-27,DISMISSED AS WITHDRAWN,25
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040020982016,203300560202016,18205,2016,56020,2016,M.,2016-11-08,2016-08-09,2016-08-22,DISPOSED,8
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040025022018,203300000302018,1850,2018,30,2018,M.,2019-03-08,2018-08-13,2018-08-13,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040018112018,203300000162018,1342,2018,16,2018,M.,2018-10-06,2018-06-02,2018-06-04,DISPOSED,8
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040026282017,203300000392017,1905,2017,39,2017,M.,NA,2017-09-21,2017-10-13,NA,0
9,West,26,Delhi,1,"District and Sessions Judge, West, THC",DLWT01,DLWT010057522017,203600000232017,2929,2017,23,2017,M,2017-07-11,2017-07-01,2017-07-03,ALLOWED,31
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040025032018,203300000312018,1851,2018,31,2018,M.,2018-08-27,2018-08-13,2018-08-13,DISPOSED,8
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040020732017,203300000282017,1513,2017,28,2017,M.,2017-08-31,2017-08-17,2017-08-17,WITHDRAWN,10
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040024992016,203300560242016,18497,2016,56024,2016,M.,2018-12-01,2016-10-01,2016-10-01,INFRUCTUOUS,30
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040031952018,203300000372018,2366,2018,37,2018,M.,2019-10-16,2018-10-16,2018-10-16,DISMISSED IN DEFAULT,13
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040035762019,203600000062019,947,2019,6,2019,M,NA,2019-10-23,2019-10-30,NA,0
5,North West,26,Delhi,1,"Principal Judge Family Court, North-West, RHC",DLNW04,DLNW040009422018,203300000062018,701,2018,6,2018,M.,2019-08-13,2018-02-07,2018-02-07,DISPOSED,8
