act_id,act_name,section_name,act_issue_flag
1,I.P.C.,376,0
2,I.P.C.,506,0
3,POCSO Act,4,0
4,I.P.C.,363,0
5,I.P.C.,366 A,0
6,POCSO Act,6,0
7,POCSO Act,21,0
8,I.P.C.,377,0
9,I.P.C.,34,0
10,I.P.C.,354 B,0
11,I.P.C.,354 A,0
12,I.P.C.,354 D,0
13,I.P.C.,452,0
14,POCSO Act,8,0
15,POCSO Act,12,0
16,I.P.C.,354 A,0
17,I.P.C.,354 B,0
18,I.P.C.,376 D,0
19,I.P.C.,384,0
20,I.P.C.,354,0
21,I.P.C.,294,0
22,I.P.C.,342,0
23,I.P.C.,376(2)(n),0
24,I.P.C.,225,0
25,I.P.C.,180,0
26,I.P.C.,313,0
27,I.P.C.,376,0
28,I.P.C.,506,0
29,I.P.C.,363,0
30,I.P.C.,366 A,0
31,I.P.C.,511,0
32,I.P.C.,120 B,0
33,I.P.C.,343,0
34,I.P.C.,365,0
35,I.P.C.,328,0
36,I.P.C.,120 B,0
37,I.P.C.,201,0
38,I.P.C.,354 C,0
39,I.P.C.,341,0
40,SC/ST Act ,3,1
41,POCSO Act,11(iv),0
42,SC/ST Act ,3,1
43,I.P.C.,354 A,0
45,I.P.C.,323,0
46,I.P.C.,325,0
47,I.P.C.,354,0
48,I.P.C.,451,0
49,POCSO Act,18,0
50,I.P.C.,457,0
51,I.P.C.,511,0
52,I.P.C.,406,0
53,"SC/ST Amendment Act, 2015",3(1)(w),0
54,SC/ST Act ,2w,1
55,I.P.C.,452,0
56,I.P.C.,362,0
57,I.P.C.,450,0
58,I.P.C.,376(2)(d),0
59,POCSO Act,3,0
60,POCSO Act,10,0
61,I.P.C.,419,0
62,Information Technology Act,67,0
63,I.P.C.,366,0
64,I.P.C.,376 A,0
65,I.P.C.,376 D,0
67,I.P.C.,366 A/376 D,0
68,I.P.C.,354 A(1),0
69,I.P.C.,366 A,0
70,I.P.C.,120 B,0
71,"SC/ST Amendment Act, 2015",3(2)(va),0
72,I.P.C.,238,0
73,I.P.C.,324,0
74,I.P.C.,216,0
75,I.P.C.,509,0
78,I.P.C.,379 A,0
79,I.P.C.,354 B,0
80,I.P.C.,354 D,0
81,POCSO Act,14(4),0
82,PCMA,9,0
83,PCMA,10,0
84,PCMA,11,0
85,I.P.C.,468 A,0
86,SC/ST Act ,---,1
89,I.P.C.,376(2)(d),0
90,Information Technology Act,67 A,0
95,I.P.C.,376(2)(n),0
96,I.P.C.,376(3),0
97,I.P.C.,366 A/365,0
98,I.P.C.,376 AB,0
99,I.P.C.,498 A,0
100,I.P.C.,376F,0
101,I.P.C.,323,0
103,I.P.C.,313,0
105,POCSO Act,3(2)(v),1
106,I.P.C.,336,0
107,I.P.C.,323/354 B,0
108,I.P.C.,506,0
109,I.P.C.,34/354,0
110,I.P.C.,354 A(1),0
111,I.P.C.,344,0
112,I.P.C.,368,0
113,I.P.C.,376 DA,0
116,I.P.C.,354 D,0
117,I.P.C.,376(2)(n),0
118,POCSO Act,5,0
122,POCSO Act,3(2)(V),1
123,POCSO Act,3(1)(W),1
124,I.P.C.,494,0
125,I.P.C.,454,0
126,I.P.C.,366 A,0
127,I.P.C.,354 A(1),0
128,I.P.C.,212,0
130,SC/ST Act ,3,1
132,POCSO Act,4,0
133,POCSO Act,12,0
134,I.P.C.,506,0
135,I.P.C.,34,0
136,POCSO Act,6,0
137,SC/ST Act ,3(1),1
139,POCSO Act,3,0
140,"SC/ST Act, 1989",3(1)(xii),0
141,POCSO Act,8,0
144,I.P.C.,457,0
145,POCSO Act,4,0
146,POCSO Act,11,0
147,I.P.C.,363,0
148,I.P.C.,366A,0
149,I.P.C.,376,0
150,I.P.C.,452,0
151,I.P.C.,148,0
152,I.P.C.,149,0
153,I.P.C.,447,0
154,I.P.C.,427,0
155,POCSO Act,4,0
157,I.P.C.,323,0
158,I.P.C.,342,0
160,I.P.C.,354 D,0
161,POCSO Act,12,0
162,"SC/ST Act, 1989",3(1)(xii),0
163,I.P.C.,467,0
164,I.P.C.,468,0
165,I.P.C.,471,0
166,POCSO Act,18,0
168,"SC/ST Act, 1989",3(1)(xi),0
169,"SC/ST Act, 1989",3(1)(xii),0
170,SC/ST Act ,3,1
171,I.P.C.,354 A,0
172,I.P.C.,336 A,0
173,"SC/ST Act, 1989",3(2)(v),0
175,I.P.C.,354,0
176,I.P.C.,323,0
177,I.P.C.,506,0
178,POCSO Act,10,0
179,POCSO Act,9(m),0
180,"JJ Act, 2000",23,0
181,"SC/ST Amendment Act, 2015",3(1)(r),0
183,I.P.C.,120 B,0
184,SC/ST Act ,SC,1
185,SC/ST Act ,STACT,1
186,I.P.C.,354,0
187,I.P.C.,354 A,0
188,POCSO Act,8,0
193,POCSO Act,12,0
194,I.P.C.,506,0
195,POCSO Act,3-1 (xii),1
196,POCSO Act,4,0
197,"SC/ST Act, 1989",3(1)(xii),0
198,SC/ST Act ,2(5),1
199,SC/ST Act ,SC/STACT1989,1
200,I.P.C.,34,0
201,I.P.C.,354 B,0
203,I.P.C.,365,0
204,I.P.C.,120 B,0
208,I.P.C.,323,0
209,POCSO Act,SC,1
210,POCSO Act,STACT,1
211,SC/ST Act ,5,1
212,I.P.C.,364,0
213,I.P.C.,120 B,0
214,I.P.C.,307,0
215,POCSO Act,5,0
216,POCSO Act,6,0
217,I.P.C.,345,0
222,I.P.C.,341,0
223,POCSO Act,12,0
224,POCSO Act,ACT,1
225,"SC/ST Act, 1989",3(2)(v),0
227,I.P.C.,366,0
228,I.P.C.,328,0
229,I.P.C.,120 B,0
230,POCSO Act,u,1
231,POCSO Act,4,0
232,SC/ST Act ,u,1
233,SC/ST Act ,3,1
234,"SC/ST Act, 1989",3(1)(xi),0
235,POCSO Act,12,0
239,POCSO Act,5(m),0
240,SC/ST Act ,3(1),1
241,I.P.C.,363 A,0
242,POCSO Act,17,0
243,POCSO Act,4,0
244,POCSO Act,8,0
245,I.P.C.,370,0
246,I.P.C.,372,0
247,I.P.C.,373,0
248,POCSO Act,10,0
249,POCSO Act,6,0
250,SC/ST Act ,3,1
251,POCSO Act,8,0
252,POCSO Act,4,0
253,POCSO Act,12,0
254,I.P.C.,302,0
255,I.P.C.,363,0
256,I.P.C.,420,0
257,POCSO Act,6,0
259,I.P.C.,367,0
260,POCSO Act,11,0
