state_name,district_name,updated_disp_name,disp_nature,fil_year,reg_year_date,decision_year,total_cases
Assam,Udalguri,Acquitted,10,2017,2016,2019,1
Delhi,Central,Untraced,46,2018,2018,2019,2
Delhi,North,Allowed,31,2019,2019,2019,1
Delhi,South West,Acquitted,1,2016,2016,2018,14
Assam,Kamrup,Transferred,1,2016,2016,2016,2
Assam,Nalbari,Transferred,43,2017,2017,2018,18
Haryana,Jhajjar,Acquitted,25,2019,2019,2020,11
Haryana,Palwal,Convicted,24,2018,2018,2020,5
Assam,Kamrup,Transferred,1,2015,2015,2016,1
Delhi,South East,Convicted,2,2017,2017,2019,1
Assam,Chirang,Transferred,1,2019,2019,2020,1
Delhi,Shahdara,Acquitted,1,2018,2018,2018,1
Assam,Kamrup,Acquitted,10,2017,2018,2019,1
Haryana,Panipat,Consigned,1005,2018,2018,2019,1
Assam,Sonitpur,Convicted,11,2015,2015,2018,2
Assam,Lakhimpur,Acquitted,10,2018,2018,2019,1
Haryana,Sonepat,Convicted,24,2016,2016,2016,4
Assam,Dhemaji,Case is filed,21,2016,2016,2018,1
Assam,Golaghat,Convicted,11,2017,2017,2020,1
Delhi,West,Convicted,2,2017,2017,2019,1
Haryana,Kaithal,Disposed of with directions,36,2018,2018,2018,1
Delhi,South East,Acquitted,1,2018,2018,2020,1
Assam,Dhubri,Disposed,30,0   ,2015,2017,1
Assam,Golaghat,Acquitted,10,2015,2015,2017,5
Haryana,Sonepat,Acquitted,25,2016,2016,2018,2
Haryana,Jind,Acquitted,25,2018,2018,2018,3
Delhi,North West,Acquitted,1,2017,2017,2018,10
Delhi,West,Disposed,8,2018,2018,2018,1
Delhi,North,Abated,5,2016,2016,2019,1
Haryana,Hisar,Transferred,1,2016,2016,2017,1
Assam,Nagaon,Acquitted,10,2018,2018,2018,4
Assam,Sivasagar,Acquitted,10,2018,2018,2018,2
Assam,Dhubri,Acquitted,10,2019,2019,2019,15
Assam,Dhemaji,Acquitted,10,0   ,2014,2015,1
Assam,Barpeta,Acquitted,10,0   ,2015,2017,1
Delhi,South West,Abated,5,2017,2017,2019,2
Delhi,North,Disposed,8,2018,2018,2018,1
Haryana,Sonepat,Convicted,24,2018,2018,2020,6
Haryana,Kurukshetra,Convicted,24,2017,2017,2018,11
Delhi,Central,Convicted - Probation,43,2017,2017,2018,1
Delhi,Central,Quashed,17,2013,2013,2015,1
Assam,Sonitpur,Converted,55,2017,2017,2017,3
Haryana,Yamunanagar,Acquitted,25,2014,2014,2015,3
Delhi,South,Allowed,31,2019,2019,2019,1
Assam,Barpeta,Acquitted,76,2017,2018,2019,1
Delhi,North West,Abated,5,2016,2016,2016,1
Delhi,North East,Allowed,31,2019,2019,2019,18
Assam,Sonitpur,Acquitted,10,2015,2015,2016,4
Assam,Tinsukia,Transferred,1,2018,2017,2019,1
Haryana,Jhajjar,PO Consigned,49,2018,2018,2019,1
Assam,Nalbari,Acquitted,10,0   ,2014,2015,1
Haryana,Panchkula,Acquitted,25,2015,2015,2015,3
Delhi,South West,Acquitted,1,2016,2016,2019,5
Delhi,North,Convicted - Fined,7,2016,2016,2020,1
Delhi,North,Convicted - Fined,7,2017,2017,2019,1
Haryana,Sirsa,Convicted,24,2014,2014,2015,5
Delhi,South,Transferred,69,2018,2018,2018,1
Haryana,Sonepat,Allowed,15,2016,2016,2016,1
Haryana,Rohtak,Acquitted,46,2015,2015,2017,2
Assam,Udalguri,Case is filed,21,2018,2018,2019,1
Haryana,Panchkula,Convicted,24,2017,2017,2019,8
Delhi,West,PO Consigned,12,2015,2015,2020,1
Delhi,West,Quashed,17,2015,2015,2017,1
Assam,Dibrugarh,Acquitted,10,2015,2015,2018,2
Delhi,Central,Acquitted,1,2014,2014,2015,6
Delhi,Central,Convicted - Fined,7,2013,2013,2015,1
Haryana,Panipat,Acquitted,25,2018,2018,2019,8
Assam,Bongaigaon,Acquitted,10,2018,2018,2018,6
Haryana,Rewari,Acquitted,25,2016,2016,2017,6
Assam,Sonitpur,Abated,13,2017,2017,2019,1
Delhi,South West,Cancelled,53,2017,2017,2017,2
Assam,Sivasagar,Acquitted,10,2016,2016,2020,1
Assam,Nagaon,Transferred,36,2016,2016,2017,1
Haryana,Faridabad,Convicted,24,2017,2017,2018,40
Assam,Karbi Anglong,Disposed,30,2018,2018,2019,1
Delhi,Central,Convicted - Fined,7,2017,2017,2018,1
Haryana,Jhajjar,Convicted,24,2015,2015,2018,1
Assam,Golaghat,Acquitted,10,2015,2015,2018,4
Haryana,Faridabad,Acquitted,25,2015,2015,2017,4
Assam,Baksa,Judgement delivered,34,2018,2015,2018,1
Haryana,Hisar,Acquitted,25,2015,2015,2017,1
Delhi,West,Abated,5,2019,2013,2018,1
Delhi,South,Allowed,31,2017,2017,2017,2
Assam,Dibrugarh,Acquitted,10,2017,2017,2018,1
Assam,Kokrajhar,Transferred,1,2017,2017,2019,1
Assam,Bongaigaon,Acquitted,10,2016,2016,2018,1
Assam,Sivasagar,Case is filed,21,2017,2017,2017,2
Haryana,Panipat,Acquitted,25,2019,2019,2019,9
Haryana,Panchkula,Acquitted,25,2017,2017,2020,1
Assam,Lakhimpur,Convicted,11,0   ,2014,2016,1
Assam,Kokrajhar,Acquitted,10,2017,2017,2019,4
Haryana,Sonepat,Convicted,24,2016,2016,2019,1
Assam,Karbi Anglong,Convicted,67,2016,2016,2019,2
Assam,Kamrup,Acquitted,10,2016,2016,2019,2
Assam,Kamrup Metro,Convicted,11,2018,2018,2020,1
Haryana,Ambala,Acquitted,25,2017,2017,2019,12
Assam,Nagaon,Transferred,36,2017,2017,2017,29
Assam,Sonitpur,Acquitted,10,2015,2015,2019,1
Assam,Morigaon,Convicted,11,2014,2014,2018,1
Delhi,North East,Acquitted,1,2019,2019,2019,8
Delhi,South,Convicted,2,2016,2016,2020,1
Delhi,North West,Discharged,3,2017,2017,2018,9
Haryana,Sirsa,Acquitted,25,2019,2019,2019,8
Assam,Sonitpur,Converted,55,2014,2014,2015,1
Delhi,South,Convicted,2,2017,2017,2019,1
Assam,Morigaon,Acquitted,10,2017,2017,2017,6
Delhi,South West,Acquitted,1,2018,2018,2019,28
Delhi,West,Convicted - Undergone,34,2013,2013,2014,1
Delhi,South,Convicted,2,2018,2018,2020,1
Assam,Sivasagar,Acquitted,10,2018,2018,2019,2
Delhi,West,Cancelled,64,2018,2018,2019,1
Assam,Karbi Anglong,Transferred,1,2018,2018,2019,2
Haryana,Jind,Acquitted,25,2014,2014,2015,3
Delhi,North West,Abated,5,2017,2017,2019,1
Delhi,North,PO Consigned,12,2017,2017,2018,3
Delhi,North West,Quashed,17,2016,2016,2019,1
Delhi,North,PO Consigned,12,2019,2019,2020,2
Haryana,Jind,Acquitted,25,2016,2016,2016,4
Haryana,Faridabad,Remand back,51,2018,2018,2018,1
Haryana,Faridabad,Acquitted,25,2017,2017,2019,10
Haryana,Kaithal,Convicted,24,2019,2019,2020,1
Delhi,West,Convicted,2,2014,2014,2019,8
Haryana,Hisar,Acquitted,25,2019,2019,2020,9
Assam,Karbi Anglong,Acquitted,10,2017,2017,2018,2
Delhi,Central,Clubbed in FIR,70,2015,2015,2018,1
Assam,Darrang,Case is filed,21,2019,2019,2020,1
Assam,Golaghat,Disposed,30,2018,2018,2018,2
Assam,Cachar,Acquitted,10,2017,2017,2017,8
Assam,Sivasagar,Case is filed,21,2014,2014,2017,1
Haryana,Hisar,Convicted,24,2016,2016,2018,3
Assam,Barpeta,Acquitted,76,2016,2016,2019,1
Assam,Barpeta,Transferred,1,2018,2018,2018,4
Assam,Karbi Anglong,Convicted,11,2017,2017,2018,4
Delhi,South West,Untraced,46,2019,2019,2019,1
Assam,Golaghat,Acquitted,10,2017,2017,2018,4
Haryana,Gurugram,Consigned,38,2017,2017,2019,3
Delhi,South West,Discharged,3,2016,2016,2016,1
Assam,Cachar,Acquitted,10,2017,2017,2020,4
Haryana,Kurukshetra,Acquitted,25,2017,2017,2019,2
Assam,Kokrajhar,Acquitted,10,2018,2018,2018,1
Delhi,West,PO Consigned,12,2013,2013,2019,1
Delhi,North West,Convicted - Fined,7,2017,2017,2018,1
Delhi,North East,Cancelled,53,2018,2018,2018,4
Assam,Lakhimpur,Disposed otherwise,2,2019,2019,2020,5
Assam,Udalguri,Remand back,22,2018,2018,2019,1
Delhi,West,PO Consigned,12,2013,2013,2017,2
Haryana,Sonepat,Convicted,24,2017,2017,2020,1
Assam,Nagaon,Convicted,11,2016,2016,2018,2
Delhi,West,Acquitted,1,2018,2018,2018,12
Delhi,West,Acquitted,1,2015,2015,2016,13
Assam,Dibrugarh,Acquitted,10,2016,2016,2018,9
Delhi,Central,PO Consigned,12,2016,2016,2018,2
Assam,Dhubri,Acquitted,10,2014,2014,2016,1
Delhi,South,Abated,5,2016,2016,2019,1
Haryana,Palwal,Disposed of with directions,36,2018,2018,2018,3
Delhi,South East,Convicted,2,2017,2017,2020,1
Haryana,Rewari,Acquitted,25,2018,2018,2019,11
Assam,Dhubri,Convicted,11,2016,2016,2017,1
Assam,Jorhat,Disposed,30,0   ,2013,2014,1
Delhi,North,Compromised,21,2017,2017,2018,1
Assam,Jorhat,Convicted,11,2016,2016,2017,2
Assam,Dhubri,Acquitted,10,2018,2018,2019,22
Delhi,North,Acquitted,1,2016,2016,2020,3
Haryana,Ambala,Acquitted,25,2015,2015,2016,16
Assam,Sonitpur,Acquitted,10,2019,2019,2020,5
Assam,Cachar,Convicted,11,0   ,2015,2017,1
Delhi,New Delhi,Quashed,17,2017,2017,2017,1
Delhi,New Delhi,Quashed,17,2016,2016,2016,1
Assam,Dhubri,Acquitted,10,2018,2018,2020,7
Assam,Lakhimpur,Disposed otherwise,2,2019,2019,2019,17
Assam,Cachar,Convicted,11,2013,2013,2014,1
Assam,Sivasagar,Remand back,22,2018,2018,2018,1
Haryana,Gurugram,Acquitted,25,2017,2017,2017,8
Delhi,North,PO Consigned,12,2016,2016,2017,1
Haryana,Jhajjar,Disposed,72,2015,2015,2016,1
Assam,Golaghat,Case is filed,21,2016,2016,2019,1
Delhi,North West,Discharged,3,2018,2018,2019,13
Assam,Morigaon,Dismissed,34,2014,2014,2018,1
Haryana,Sonepat,Convicted,24,2017,2017,2017,2
Haryana,Gurugram,Convicted,24,2016,2016,2016,4
Delhi,South East,Acquitted,1,2014,2014,2019,2
Delhi,Central,Convicted - Fined,7,2013,2014,2015,1
Delhi,South West,Convicted - Fined,7,2018,2018,2019,1
Assam,Sivasagar,Convicted,11,2016,2016,2017,2
Assam,Morigaon,Acquitted,10,2015,2015,2015,1
Delhi,North,Convicted - Fined,7,2015,2015,2018,1
Assam,Dibrugarh,Acquitted,10,2015,2015,2019,1
Assam,Sonitpur,Convicted,11,2017,2017,2020,1
Delhi,Shahdara,Cancelled,53,2019,2019,2019,4
Delhi,New Delhi,Discharged,3,2018,2018,2020,1
Delhi,Central,Acquitted,1,2016,2016,2017,5
Assam,Dhemaji,Convicted,11,2016,2016,2018,2
Haryana,Panipat,Acquitted,25,2016,2016,2017,11
Assam,Kokrajhar,Abated,13,0   ,2014,2015,1
Delhi,North West,Convicted - Fined,4,2016,2016,2019,1
Assam,Kamrup Metro,Acquitted,10,2016,2016,2017,3
Assam,Darrang,Acquitted,10,2017,2017,2017,1
Haryana,Faridabad,Convicted,24,2017,2017,2019,23
Assam,Barpeta,Convicted - Fined,63,2019,2019,2019,1
Delhi,New Delhi,Abated,5,2018,2019,2019,1
Delhi,West,Convicted,2,2013,2014,2019,1
Assam,Karimganj,Acquitted,10,2015,2015,2016,1
Delhi,Shahdara,PO Consigned,12,2018,2018,2019,3
Assam,Nagaon,Acquitted,10,2019,2019,2019,1
Delhi,South West,Convicted - Fined,7,2017,2017,2019,2
Assam,Darrang,Acquitted,10,2019,2019,2019,7
Haryana,Sirsa,Acquitted,25,2016,2016,2017,17
Assam,Sonitpur,Case is filed,21,2019,2019,2020,2
Haryana,Panchkula,Abated,29,2015,2015,2016,1
Haryana,Faridabad,Acquitted,25,2016,2016,2018,6
Assam,Morigaon,Convicted,11,2018,2018,2019,1
Delhi,South East,Allowed,31,2017,2017,2017,2
Delhi,South West,Convicted - Fined,7,2013,2013,2020,1
Assam,Barpeta,Concilliation,9,2017,2017,2019,1
Assam,Dibrugarh,Transferred - JJB,55,2014,2014,2014,1
Delhi,North,Convicted - Fined,7,2014,2014,2019,2
Assam,Sonitpur,Acquitted,10,2017,2017,2019,9
Assam,Sonitpur,Case is filed,21,2016,2016,2019,1
Assam,Kokrajhar,Convicted,11,2018,2018,2019,3
Haryana,Gurugram,Transferred,1,2015,2015,2016,1
Delhi,West,PO Consigned,12,2014,2014,2019,3
Haryana,Rewari,Convicted,24,2019,2019,2019,2
Delhi,Central,Acquitted,1,2014,2014,2017,5
Assam,Nagaon,Convicted,11,2018,2018,2018,1
Assam,Hailakandi,Convicted,67,2018,2018,2019,1
Assam,Jorhat,Acquitted,10,2018,2018,2018,10
Assam,Barpeta,Acquitted,76,2019,2019,2020,9
Delhi,West,Untraced,46,2019,2019,2019,4
Delhi,South West,Acquitted,1,2015,2015,2019,1
Assam,Dhemaji,Convicted,11,0   ,2015,2018,2
Delhi,New Delhi,Acquitted,1,2017,2017,2019,1
Assam,Sivasagar,Acquitted,10,2017,2017,2017,6
Assam,Karbi Anglong,Acquitted,10,2015,2015,2018,1
Assam,Sonitpur,Acquitted,10,2014,2014,2016,1
Assam,Dhemaji,Convicted,11,2017,2017,2018,2
Assam,Chirang,Convicted,11,2017,2017,2018,4
Haryana,Jind,Acquitted,25,2017,2017,2018,7
Haryana,Gurugram,Dismissed,46,2016,2016,2017,1
Delhi,South East,Convicted,2,2014,2014,2019,3
Haryana,Sirsa,Acquitted,25,2018,2018,2019,15
Assam,Kamrup Metro,Acquitted,10,2015,2015,2018,1
Assam,Kamrup Metro,Acquitted,10,2015,2015,2017,6
Haryana,Gurugram,Discharged,23,2016,2016,2016,1
Assam,Chirang,Case is filed,21,2018,2018,2019,3
Haryana,Sirsa,Convicted,24,2018,2018,2018,1
Haryana,Hisar,Disposed,1013,2016,2016,2018,1
Haryana,Kaithal,Convicted,24,2016,2016,2016,1
Assam,Kamrup,Convicted,11,2016,2016,2020,1
Assam,Dibrugarh,Case is filed,21,2015,2015,2016,7
Haryana,Gurugram,Allowed,15,2016,2016,2016,1
Assam,Sonitpur,Abated,13,2014,2014,2015,1
Assam,Cachar,Acquitted,10,2019,2019,2020,11
Delhi,South,Convicted - Fined,7,2014,2015,2019,1
Haryana,Rohtak,Acquitted,46,2018,2018,2020,1
Assam,Morigaon,Acquitted,10,2015,2015,2016,6
Delhi,North,Convicted,2,2015,2015,2019,1
Delhi,North West,Convicted - Probation,43,2016,2016,2019,1
Assam,Kamrup,Acquitted,10,2019,2019,2020,1
Delhi,South West,PO Consigned,12,2016,2016,2019,1
Haryana,Faridabad,Convicted,24,2018,2018,2020,12
Delhi,South East,Allowed,31,2017,2017,2018,2
Haryana,Sonepat,Acquitted,25,2016,2016,2016,17
Haryana,Fatehabad,Acquitted,25,2018,2018,2018,16
Assam,Cachar,Acquitted,10,0   ,2015,2015,1
Haryana,Fatehabad,Acquitted,25,2016,2016,2016,13
Haryana,Faridabad,Convicted,24,2015,2015,2016,2
Assam,Dhemaji,Acquitted,10,0   ,2013,2015,2
Delhi,South West,Untraced,46,2018,2018,2019,1
Delhi,Central,Acquitted,1,2013,2013,2013,1
Assam,Udalguri,Acquitted,10,2018,2018,2018,8
Haryana,Hisar,Abated,29,2019,2019,2020,1
Assam,Barpeta,Acquitted,10,2016,2017,2018,1
Assam,Barpeta,Acquitted,76,2018,2018,2020,1
Assam,Lakhimpur,Acquitted,10,2016,2016,2018,6
Assam,Dibrugarh,Disposed,30,2014,2014,2015,1
Delhi,North West,Acquitted,1,2016,2016,2019,26
Delhi,North West,Transferred,64,2016,2016,2016,1
Haryana,Kaithal,Acquitted,25,2016,2016,2017,12
Assam,Dhubri,Acquitted,10,0   ,2016,2016,1
Delhi,South West,Discharged,3,2019,2019,2020,1
Assam,Jorhat,Convicted,11,2018,2018,2019,3
Haryana,Ambala,Disposed of with directions,36,2018,2018,2019,1
Delhi,North,Acquitted,1,2014,2014,2017,2
Haryana,Panchkula,Disposed of with directions,36,2019,2019,2019,1
Delhi,West,Allowed,31,2016,2016,2016,1
Haryana,Kurukshetra,Disposed of with directions,36,2017,2017,2017,1
Delhi,Central,Convicted - Probation,43,2014,2014,2017,1
Assam,Sonitpur,Case is filed,21,2018,2018,2020,5
Assam,Sivasagar,Disposed,47,2017,2017,2017,1
Delhi,West,Convicted,2,2014,2014,2018,2
Delhi,Shahdara,Acquitted,1,2015,2015,2019,2
Delhi,West,Quashed,17,2015,2015,2016,1
Delhi,South,Allowed,31,2018,2018,2018,5
Delhi,North West,Abated,5,2019,2019,2019,1
Delhi,Central,Discharged,3,2014,2014,2014,2
Delhi,North,Allowed,31,2018,2018,2019,1
Assam,Lakhimpur,Convicted,11,2014,2014,2016,1
Assam,Sivasagar,Disposed,30,2017,2017,2018,1
Assam,Dhemaji,Acquitted,10,2017,2017,2017,1
Haryana,Ambala,Acquitted,25,2014,2014,2015,5
Delhi,North East,Allowed,31,2019,2019,2020,1
Delhi,Central,Abated,5,2013,2013,2017,1
Assam,Chirang,Case is filed,21,2019,2019,2019,2
Haryana,Ambala,Acquitted,25,2017,2017,2018,9
Assam,Nagaon,Transferred,36,2018,2018,2018,5
Delhi,South,Transferred,69,2017,2017,2017,1
Delhi,South West,Allowed,31,2019,2019,2020,1
Delhi,South,Abated,5,2018,2018,2018,1
Haryana,Gurugram,Transferred,1,2017,2017,2017,3
Assam,Golaghat,Acquitted,10,2016,2016,2020,4
Haryana,Jhajjar,Convicted,24,2017,2017,2018,8
Haryana,Panipat,Acquitted,25,2018,2018,2020,1
Delhi,New Delhi,Disposed,8,2017,2017,2018,1
Delhi,West,Quashed,17,2017,2017,2017,2
Haryana,Jhajjar,Acquitted,25,2014,2014,2015,9
