state_name,district_name,est_code,court_name,reg_year,fil_year,decision_year,act_name_std,section_name_std,total_cases
Delhi,South East,DLSE01,"District and Sessions Judge, South-East, Saket",2018,2018,NA,POCSO,6,63
Assam,Barpeta,ASBR01,District and Sessions Judge,2018,2018,2018,IPC,420,1
Assam,Karbi Anglong,ASKA01,District and Sessions Judge,2019,2019,NA,IPC,376,7
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2019,2019,NA,IPC,323,8
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2017,2017,NA,IPC,354 A,15
Haryana,Jhajjar,HRJR01,"District and Sessions Courts, Jhajjar",2018,2018,2019,IPC,365,2
Haryana,Hisar,HRHS03,"Criminal Courts, Hisar",2020,2020,2020,POCSO,6,7
Delhi,North East,DLNE01,"District and Sessions Judge, North-East, KKD",2015,2014,NA,IPC,365,2
Assam,Karbi Anglong,ASKA01,District and Sessions Judge,2017,2017,2018,POCSO,4,5
Assam,Udalguri,ASUA03,"District And Sessions Court, Udalguri",2018,2018,NA,IPC,323,1
Assam,Kamrup,ASKR01,District and Sessions Judge,2020,2020,2020,IPC,34 A,1
Haryana,Fatehabad,HRFT01,"District  and Sessions Courts, Fatehabad",2018,2018,2019,POCSO,8,12
Delhi,East,DLET01,"District and Sessions Judge, East, KKD",2019,2019,2020,IPC,323,2
Haryana,Jind,HRJNA0,"Criminal Courts, Narwana",2017,2017,2017,IPC,120 B,2
Haryana,Panchkula,HRPK01,"DISTRICT AND  SESSIONS COURTS, PANCHKULA",2018,2018,NA,POCSO,4,11
Delhi,North West,DLNW01,"District and Sessions Judge, North-West, RHC",2016,2016,2020,IPC,354 A,1
Assam,Cachar,ASCC01,District And Sessions Judge Court,2018,2018,2019,IPC,34 A,1
Delhi,Central,DLCT01,"District and Sessions Judge, Central, THC",2016,2016,2016,IPC,354 A,3
Haryana,Jind,HRJN03,"Criminal Courts, Jind",2020,2020,2020,IPC,511,1
Delhi,North,DLNT01,"District and Sessions Judge, North, RHC",2018,2018,2019,IPC,376(2),1
Haryana,Hisar,HRHS01,"District and Sessions Courts, Hisar",2017,2017,2019,POCSO,6,5
Assam,Karbi Anglong,ASKA01,District and Sessions Judge,2014,2014,NA,IPC,376,2
Haryana,Sirsa,HRSI01,"District and Sessions Courts, Sirsa",2016,2016,2016,IPC,377,1
Delhi,South West,DLSW01,"District and Sessions Judge, South-West, DWK",2020,2020,2020,POCSO,10,3
Assam,Barpeta,ASBR01,District and Sessions Judge,2017,2017,2017,POCSO,6,1
Haryana,Sonepat,HRSO03,"Criminal Courts, Sonipat",2020,2020,NA,IPC,34 A,1
Haryana,Sonepat,HRSO03,"Criminal Courts, Sonipat",2017,2017,2017,IPC,366 A,2
Haryana,Sonepat,HRSO01,"District and Sessions Courts, Sonipat",2015,2015,2015,IPC,342,2
Haryana,Sirsa,HRSIB1,"Criminal Courts, Ellenabad",2019,2019,2019,POCSO,12,3
Haryana,Palwal,HRPL03,"Criminal Courts, Palwal",2018,2018,NA,IPC,341,1
Delhi,South,DLST01,"District and Sessions Judge, South, Saket",2016,2015,NA,IPC,341,1
Assam,Karbi Anglong,ASKA01,District and Sessions Judge,2018,2018,2019,IPC,354,1
Haryana,Jhajjar,HRJR03,"Criminal Courts, Jhajjar",2019,2019,NA,IPC,376,1
Haryana,Sonepat,HRSO01,"District and Sessions Courts, Sonipat",2019,2019,NA,POCSO,10,6
Assam,Dhemaji,AS2201,District and Sessions Judge,2017,2017,2017,POCSO,4,1
Assam,Morigaon,ASMR01,"District and Sessions Judge,Morigaon",2016,2016,2018,POCSO,4,3
Assam,Karimganj,ASKJ01,District and Sessions Judge Court Karimganj,2016,2016,NA,POCSO,4,1
Assam,Golaghat,ASGL01,GLT_DJ_ESTT,2020,2020,NA,IPC,448,1
Assam,Cachar,ASCC04,Munsiff Court,2019,2019,2019,IPC,323,1
Haryana,Rohtak,HRRH01,District and Sessions Court Rohtak,2015,2015,2015,IPC,377,12
