state_name,district_name,purpose,updated_purpose,total_hearings
Assam,Baksa,Appearance,Miscellaneous Appearance,53
Assam,Baksa,Appearance/Copy,Miscellaneous Appearance,109
Assam,Baksa,Arguments,Miscellaneous Arguments,75
Assam,Baksa,Case Diary,Miscellaneous,1
Assam,Baksa,Consideration of Charge(C.C),Charge,127
Assam,Baksa,C opy,Miscellaneous Appearance,10
Assam,Baksa,Copy,Miscellaneous Appearance,19
Assam,Baksa,Cross of PWS,Prosecution Evidence,3
Assam,Baksa,Defence Evidence,Defence Evidence,1
Assam,Baksa,Defense Witness,Defence Evidence,8
Assam,Baksa,Disposed,Judgement,58
Assam,Baksa,Evidence,Other Evidence,835
Assam,Baksa,Hearing,Miscellaneous,5
Assam,Baksa,Hearing on Petition,Miscellaneous,1
Assam,Baksa,Judgment,Judgement,48
Assam,Baksa,Necessary Order,Miscellaneous Order,7
Assam,Baksa,Objection,Miscellaneous,1
Assam,Baksa,Objection Hearing,Miscellaneous,2
Assam,Baksa,Order,Miscellaneous Order,1
Assam,Baksa,Production/C.C.,Charge,4
Assam,Baksa,Production/Evidence,Prosecution Evidence,61
Assam,Baksa,Production of Accused,Miscellaneous Appearance,148
Assam,Baksa,Production through VC,Miscellaneous Appearance,7
Assam,Baksa,Prosecution Evidence,Prosecution Evidence,3
Assam,Baksa,put up,Miscellaneous,1
Assam,Baksa,Report,Miscellaneous,44
Assam,Baksa,Report/Appearance,Miscellaneous Appearance,3
Assam,Baksa,Revoked,Miscellaneous,16
Assam,Baksa,S/D and argument,Defence Evidence,4
Assam,Baksa,Statement Defence and Argument,Defence Evidence,37
Assam,Barpeta,313 Cr.Pc STatement,Statement of Accused,6
Assam,Barpeta,Appearance and Report,Miscellaneous Appearance,11
Assam,Barpeta,Appearence and C.C.,Charge,3
Assam,Barpeta,Appearence of the accused,Miscellaneous Appearance,7
Assam,Barpeta,Appereance,Miscellaneous Appearance,1051
Assam,Barpeta,Arguments,Miscellaneous Arguments,241
Assam,Barpeta,Case Diary,Miscellaneous,2
Assam,Barpeta,Consideration of Charge(C.C),Charge,572
Assam,Barpeta,Copy,Miscellaneous Appearance,204
Assam,Barpeta,Copy.,Miscellaneous Appearance,12
Assam,Barpeta,Cost of Nazir,Miscellaneous,1
Assam,Barpeta,Court/Official  witness,Other Evidence,1
Assam,Barpeta,Cross examination of Prosecution Witness,Prosecution Evidence,1
Assam,Barpeta,Defence Evidence,Defence Evidence,13
Assam,Barpeta,Defendant Witness,Defence Evidence,5
Assam,Barpeta,Defense Witness,Defence Evidence,28
Assam,Barpeta,Disposed,Judgement,276
Assam,Barpeta,Evidence,Other Evidence,1507
Assam,Barpeta,Evidence After Charge,Prosecution Evidence,18
Assam,Barpeta,Evidence of Enquiry Officer (EO),Other Evidence,2
Assam,Barpeta,Evidence of I.O,Prosecution Evidence,70
Assam,Barpeta,Evidence of I.O.,Prosecution Evidence,2
Assam,Barpeta,Evidence of M.O.,Prosecution Evidence,23
Assam,Barpeta,Evidence of PWs,Prosecution Evidence,11
Assam,Barpeta,Examination,Other Evidence,2
Assam,Barpeta,Examination of I/O,Prosecution Evidence,4
Assam,Barpeta,For Copy,Miscellaneous Appearance,13
Assam,Barpeta,Further Evidence,Other Evidence,895
Assam,Barpeta,hearing,Miscellaneous,5
Assam,Barpeta,Hearing on C. C.,Charge,6
Assam,Barpeta,Hearing on Petition,Miscellaneous,4
Assam,Barpeta,Hearing on Sentence,Sentence,1
Assam,Barpeta,Inventory Report,Miscellaneous,1
Assam,Barpeta,Judgement,Judgement,199
Assam,Barpeta,Necessary Order,Miscellaneous Order,43
Assam,Barpeta,Order,Miscellaneous Order,9
Assam,Barpeta,Production of Accused,Miscellaneous Appearance,96
Assam,Barpeta,Record,Miscellaneous,3
Assam,Barpeta,Report,Miscellaneous,5
Assam,Barpeta,Revoked,Miscellaneous,8
Assam,Barpeta,Service Report,Miscellaneous,2
Assam,Barpeta,Statement/defence,Defence Evidence,40
Assam,Barpeta,Statement/Defense,Defence Evidence,33
Assam,Barpeta,Statement/Defense/Argument,Defence Evidence,73
Assam,Barpeta,Statement of Accused,Statement of Accused,33
Assam,Bongaigaon,Appearence,Miscellaneous Appearance,66
Assam,Bongaigaon,Appereance,Miscellaneous Appearance,28
Assam,Bongaigaon,Arguments,Miscellaneous Arguments,80
Assam,Bongaigaon,Charge,Charge,1
Assam,Bongaigaon,Consideration of Charge(C.C),Charge,50
Assam,Bongaigaon,Copy,Miscellaneous Appearance,48
Assam,Bongaigaon,Defence Evidence,Defence Evidence,4
Assam,Bongaigaon,Disposed,Judgement,41
Assam,Bongaigaon,Enquiry,Miscellaneous,1
Assam,Bongaigaon,Evidence,Other Evidence,533
Assam,Bongaigaon,Evidence of I.O,Prosecution Evidence,49
Assam,Bongaigaon,Evidence on Official Witness,Other Evidence,6
Assam,Bongaigaon,For I.O,Prosecution Evidence,1
Assam,Bongaigaon,For Judgement,Judgement,15
Assam,Bongaigaon,For Put up,Miscellaneous,1
Assam,Bongaigaon,Further Arguments,Miscellaneous Arguments,3
Assam,Bongaigaon,Further Evidence,Other Evidence,63
Assam,Bongaigaon,Hearing,Miscellaneous,11
Assam,Bongaigaon,Hearing on C. C.,Charge,1
Assam,Bongaigaon,Hearing on Petition,Miscellaneous,1
Assam,Bongaigaon,Judgement,Judgement,35
Assam,Bongaigaon,Official Witness,Other Evidence,2
Assam,Bongaigaon,Production of Accused,Miscellaneous Appearance,30
Assam,Bongaigaon,Remanded Till,Miscellaneous,21
Assam,Bongaigaon,Report,Miscellaneous,5
Assam,Bongaigaon,SD,Defence Evidence,4
Assam,Bongaigaon,SD and Argument,Defence Evidence,10
Assam,Bongaigaon,Statement Defence and Argument,Defence Evidence,3
Assam,Bongaigaon,Statement of Accused,Statement of Accused,18
Assam,Cachar,Appearance,Miscellaneous Appearance,686
Assam,Cachar,Appearance and Charge.,Charge,17
Assam,Cachar,Appearence and Record,Miscellaneous Appearance,4
Assam,Cachar,Argument.,Miscellaneous Arguments,218
Assam,Cachar,Case Diary,Miscellaneous,1
Assam,Cachar,Charge,Charge,50
Assam,Cachar,Consideration of Charge(C.C),Charge,314
Assam,Cachar,Copy,Miscellaneous Appearance,13
Assam,Cachar,Copy.,Miscellaneous Appearance,71
Assam,Cachar,Cross-Examination.,Other Evidence,56
Assam,Cachar,Cross Examination of Defense Witness,Defence Evidence,3
Assam,Cachar,Cross examination of Prosecution Witness,Prosecution Evidence,2
Assam,Cachar,Defence Evidence,Defence Evidence,6
Assam,Cachar,Defendant Witness,Defence Evidence,16
Assam,Cachar,Defense Witness,Defence Evidence,10
Assam,Cachar,Deposition,Other Evidence,3
Assam,Cachar,Disposed,Judgement,117
Assam,Cachar,Evidence,Other Evidence,1253
Assam,Cachar,Evidence of I/O,Prosecution Evidence,64
Assam,Cachar,Evidence of I/O and M/O.,Prosecution Evidence,5
Assam,Cachar,F.F. (Report in Final Form),Miscellaneous,263
Assam,Cachar,Further Argument,Miscellaneous Arguments,2
