act_id,act_name,section_name,state_name,total_cases,total_judgements,total_orders
54,SC/ST Act,2w,Haryana,2,1,32
86,SC/ST Act,---,Haryana,7,1,39
105,POCSO Act,3(2)(v),Haryana,1,1,32
122,POCSO Act,3(2)(V),Haryana,1,1,3
123,POCSO Act,3(1)(W),Haryana,1,1,3
140,SC/ST Act,3(1)XII,Haryana,1,0,22
162,SC/ST Act,3(1)(XII),Haryana,3,1,15
168,SC/ST Act,3(1)(11),Haryana,2,1,15
169,SC/ST Act,3(1)(12),Haryana,3,1,87
184,SC/ST Act,SC,Haryana,2,1,48
185,SC/ST Act,STACT,Haryana,1,1,40
195,POCSO Act,3-1 (xii),Haryana,1,0,12
197,SC/ST Act,3.1(12),Haryana,1,0,13
199,SC/ST Act,SC/STACT1989,Haryana,1,0,13
209,POCSO Act,SC,Haryana,1,0,12
210,POCSO Act,STACT,Haryana,1,0,12
224,POCSO Act,ACT,Haryana,1,1,25
230,POCSO Act,u,Haryana,2,1,35
232,SC/ST Act,u,Haryana,1,0,20
234,SC/ST Act,3(I)(XI),Haryana,1,0,12
264,SC/ST Act,33,Haryana,11,1,88
265,SC/ST Act,89,Haryana,13,1,101
269,Arms Act,54,Haryana,46,16,326
270,Arms Act,59,Haryana,45,15,278
278,SC/ST Act,33,Haryana,5,0,61
279,SC/ST Act,89,Haryana,5,0,61
367,POCSO Act,---,Haryana,34,9,136
423,I.P.C.,D,Haryana,4,1,18
483,I.P.C.,-3,Haryana,3,2,22
502,I.P.C.,3636,Haryana,1,1,20
544,SC/ST Act,3(XI),Haryana,1,1,11
599,Medical Termination of Pregnancy Act,45,Haryana,1,1,22
608,POCSO Act,3A1,Haryana,1,0,20
612,SC/ST Act,3(i)(XI)(XII),Haryana,1,1,2
648,I.P.C.,IPC,Delhi,10,0,27
648,I.P.C.,IPC,Haryana,9,0,35
657,POCSO Act,POCSOAct,Haryana,4,2,118
658,SC/ST Act,ATAct,Haryana,1,0,8
660,SC/ST Act,SC/ST,Haryana,1,0,4
683,POCSO Act,32,Haryana,1,0,36
703,SC/ST Act,(w),Haryana,2,0,17
704,SC/ST Act,(v),Haryana,3,0,20
706,POCSO Act,POCSO,Haryana,8,3,71
718,SC/ST Act,392V,Haryana,1,1,15
767,I.P.C.,379 AB,Haryana,1,0,13
778,SC/ST Act,3XII,Haryana,2,1,19
808,SC/ST Act,ST,Haryana,3,0,17
871,I.P.C.,A,Assam,2,0,0
871,I.P.C.,A,Haryana,5,1,20
888,SC/ST Act,33,Haryana,34,15,229
889,SC/ST Act,89,Haryana,34,15,229
896,SC/ST Act,33,Haryana,59,30,396
