state_name,district_name,fir_year,fil_year,reg_year_date,total_cases
Assam,Karimganj,2019,2020,2020,2
Assam,Morigaon,2016,2016,2016,11
Delhi,South,2014,2018,2018,4
Haryana,Panipat,2017,2017,2017,42
Assam,Sonitpur,2013,2014,2014,1
Delhi,South,2017,2019,2019,13
Delhi,New Delhi,2018,2019,2019,30
Delhi,South West,2013,2014,2014,10
Haryana,Sirsa,2013,2015,2015,2
Assam,Tinsukia,0   ,2016,2016,1
Haryana,Rewari,2016,2017,2017,9
Delhi,North East,2013,2013,2013,3
Assam,Dhemaji,2015,2017,2017,4
Delhi,New Delhi,2016,2016,2016,48
Assam,Barpeta,2015,2016,2015,1
Delhi,Shahdara,2019,2020,2020,17
Assam,Barpeta,2020,2020,2020,3
Assam,Dibrugarh,2017,2017,2017,1
Assam,Sivasagar,2013,2016,2016,1
Assam,Kamrup,2015,2016,2014,1
Haryana,Panipat,2018,2018,2018,21
Assam,Darrang,2018,2018,2018,2
Assam,Kamrup,2015,2018,2018,5
Haryana,Ambala,2013,2015,2015,1
Assam,Kamrup,2020,2020,2020,1
Assam,Nalbari,2017,2017,2017,23
Delhi,South West,2014,2018,2018,13
Assam,Sonitpur,2014,2015,2015,2
Assam,Barpeta,2015,0   ,2015,3
Assam,Hailakandi,0   ,2017,2017,15
Delhi,South West,2015,2017,2017,20
Delhi,New Delhi,2018,2020,2020,2
Assam,Sonitpur,2018,2019,2019,3
Assam,Jorhat,2018,2020,2020,1
Haryana,Ambala,2014,2014,2014,14
Haryana,Sirsa,0   ,2015,2015,1
Assam,Barpeta,2015,2019,2019,10
Delhi,East,2018,2020,2020,1
Haryana,Rewari,2017,2019,2019,1
Assam,Dhemaji,0   ,2018,2018,3
Haryana,Faridabad,2016,2019,2019,1
Assam,Nalbari,2014,2017,2017,2
Assam,Goalpara,0   ,2018,2018,7
Assam,Kamrup,0   ,2014,2018,1
Delhi,North West,2013,2019,2019,2
Assam,Udalguri,2015,2015,2015,5
Assam,Karbi Anglong,0   ,2018,2018,5
Haryana,Panchkula,2016,2017,2017,4
Assam,Jorhat,2014,2018,2018,2
Delhi,South,2019,2019,2019,93
Assam,Bongaigaon,2013,2016,2016,1
Haryana,Hisar,2015,2017,2017,1
Haryana,Faridabad,2018,2018,2018,215
Delhi,Shahdara,2016,2019,2019,17
Delhi,North West,2013,2018,2018,3
