state_name,district_name,fil_year,reg_year_date,total_cases,pending_cases,disposed_cases
Assam,Goalpara,2018,2018,21,14,7
Assam,Kokrajhar,2017,2017,28,11,17
Assam,Sonitpur,2017,2017,97,11,86
Assam,Kamrup,2015,2018,3,0,3
Haryana,Kaithal,2019,2019,52,34,18
Assam,Morigaon,2020,2020,29,26,3
Assam,Karbi Anglong,2017,2013,1,1,0
Assam,Karbi Anglong,2014,2014,8,6,2
Assam,Sonitpur,2014,2014,10,0,10
Haryana,Faridabad,2019,2020,15,15,0
Delhi,North West,2018,2019,1,1,0
Delhi,East,2015,2014,3,3,0
Assam,Chirang,2017,2017,18,1,17
Haryana,Faridabad,2018,2018,260,36,224
Assam,Morigaon,2018,2018,75,55,20
Haryana,Jhajjar,2018,2018,67,4,63
Delhi,East,2018,2018,156,153,3
Delhi,West,2017,2017,224,143,81
Delhi,South East,2018,2018,178,153,25
Delhi,Central,2014,2015,1,0,1
Delhi,South,2020,2019,1,1,0
Delhi,Shahdara,2019,2019,205,181,24
Assam,Tinsukia,2014,2014,1,0,1
Delhi,East,2020,2020,25,25,0
Assam,Lakhimpur,0   ,2014,1,0,1
Assam,Sivasagar,2015,2015,45,12,33
Assam,Karbi Anglong,2013,2014,1,1,0
Delhi,Shahdara,2018,2018,176,152,24
Haryana,Fatehabad,2016,2016,36,0,36
Haryana,Hisar,2018,2018,82,5,77
Assam,Karbi Anglong,2015,2014,1,0,1
Assam,Bongaigaon,2016,2016,7,0,7
Delhi,South West,2015,2015,49,43,6
Assam,Nalbari,0   ,2013,1,0,1
Assam,Karbi Anglong,2019,2019,60,53,7
Haryana,Sirsa,2017,2017,35,0,35
Delhi,South,2017,2017,134,93,41
Assam,Kamrup Metro,2017,2017,40,27,13
Haryana,Faridabad,2016,2016,85,0,85
Assam,Chirang,2020,2020,11,10,1
Assam,Lakhimpur,2015,2015,4,1,3
Assam,Sivasagar,2018,2018,53,31,22
Assam,Jorhat,2019,2019,64,55,9
Haryana,Jhajjar,2020,2020,7,7,0
Assam,Sonitpur,2015,2015,34,6,28
Assam,Sonitpur,2016,2016,54,10,44
Assam,Karbi Anglong,2018,2016,1,1,0
Assam,Kamrup Metro,2019,2019,87,84,3
Delhi,North West,2016,2016,179,77,102
Delhi,West,2012,2012,1,0,1
Assam,Dhubri,2014,2014,1,0,1
Delhi,South,2014,2015,62,38,24
Assam,Dhubri,2018,2018,68,17,51
Assam,Golaghat,2014,2014,9,4,5
Haryana,Fatehabad,2018,2018,78,19,59
Assam,Karimganj,2015,2015,9,3,6
Delhi,New Delhi,2017,2018,8,8,0
Haryana,Ambala,2016,2016,25,2,23
