state_name,district_name,reg_year_date,fil_year,court_name,est_code,updated_type_name,updated_disp_name,disp_nature,total_cases,cases_pending_trial_yearly
Assam,Baksa,2015,2018,District and Sessions Judge,ASBK01,Sessions Special,Case is filed,21,1,1
Assam,Baksa,2015,2018,District and Sessions Judge,ASBK01,Special (POCSO) Case,Judgement delivered,34,1,1
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Sessions Case (SC),NA,0,2,2
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Sessions Special,Acquitted,10,8,6
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Sessions Special,Case is filed,21,2,1
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Sessions Special,Disposed,30,6,5
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Sessions Special,Disposed off on contest,50,5,5
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Sessions Special,Judgement delivered,34,1,0
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Sessions Special,Stayed,33,1,0
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Sessions Special,NA,0,43,43
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Special (POCSO) Case,Acquitted,10,6,5
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Special (POCSO) Case,Case is filed,21,3,3
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Special (POCSO) Case,Convicted,11,1,0
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Special (POCSO) Case,Disposed,30,1,1
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Special (POCSO) Case,Disposed off on contest,50,3,3
Assam,Baksa,2018,2018,District and Sessions Judge,ASBK01,Special (POCSO) Case,NA,0,30,30
Assam,Baksa,2019,2019,District and Sessions Judge,ASBK01,Special (POCSO) Case,Acquitted,10,1,0
Assam,Baksa,2019,2019,District and Sessions Judge,ASBK01,Special (POCSO) Case,Disposed,30,2,0
Assam,Baksa,2019,2019,District and Sessions Judge,ASBK01,Special (POCSO) Case,Disposed off on contest,50,2,0
Assam,Baksa,2019,2019,District and Sessions Judge,ASBK01,Special (POCSO) Case,NA,0,56,6
Assam,Baksa,2020,2020,District and Sessions Judge,ASBK01,Special (POCSO) Case,NA,0,9,0
Assam,Barpeta,2014,2014,District and Sessions Judge,ASBR01,Sessions Case (SC),Convicted - Fined,63,1,0
Assam,Barpeta,2014,2014,District and Sessions Judge,ASBR01,Sessions Case (SC),Transferred,68,2,0
Assam,Barpeta,2014,2016,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,2,2
Assam,Barpeta,2014,2016,District and Sessions Judge,ASBR01,Special (POCSO) Case,Disposed,61,1,1
Assam,Barpeta,2015,0   ,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,10,4,3
